theta0_degrees,theta_reference_degrees,theta_segment_degrees,delta_reference_degrees,delta_reference_abs_degrees,delta_segment_degrees,delta_segment_abs_degrees,segment_reference_error_degrees,segment_reference_error_abs_degrees,angle_decomposition_residual,tau0,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_ref_min,s_ref_max,q_ref_min,q_ref_max,q_ref_abs_max,lateral_width_reference_path,longitudinal_width_reference_path,required_strip_width,required_strip_width_one_sided
11.0,98.07181000630752,88.13094164621191,-87.07181000630752,87.07181000630752,-77.13094164621191,77.13094164621191,-9.940868360095596,9.940868360095596,0.0,1,C,77.13094164621191,0.0,-5.536054497711564e-17,0.6048389944573936,-0.6837985519046476,4.0031746070322037e-16,0.6837985519046476,0.683798551904648,0.6048389944573936,1.113798551904648,0.8987985519046475
11.5,98.07181000630752,88.04773457022344,-86.57181000630752,86.57181000630752,-76.54773457022344,76.54773457022344,-10.024075436084077,10.024075436084077,0.0,1,C,76.54773457022344,0.0,-9.433329087962803e-17,0.6034375233235172,-0.6772344688143856,1.2551148760163792e-16,0.6772344688143856,0.6772344688143858,0.6034375233235173,1.1072344688143858,0.8922344688143856
12.0,98.07181000630752,87.96475858691826,-86.0718100063075,86.0718100063075,-75.96475858691825,75.96475858691825,-10.10705141938925,10.10705141938925,0.0,1,C,75.96475858691825,0.0,-3.197689743560821e-17,0.6019835686177679,-0.6706727176346078,5.652010445641698e-16,0.6706727176346078,0.6706727176346083,0.6019835686177679,1.1006727176346083,0.8856727176346078
12.5,98.07181000630752,87.88202325839892,-85.57181000630752,85.57181000630752,-75.38202325839892,75.38202325839892,-10.189786747908599,10.189786747908599,0.0,1,C,75.38202325839892,0.0,-7.484691792837183e-17,0.6004772817722439,-0.6641138185940777,2.6291447415242916e-16,0.6641138185940777,0.6641138185940779,0.600477281772244,1.094113818594078,0.8791138185940777
13.0,98.07181000630752,87.79953808633925,-85.0718100063075,85.0718100063075,-74.79953808633924,74.79953808633924,-10.272271919968261,10.272271919968261,0.0,1,C,74.79953808633924,0.0,1.1691823770753715e-17,0.5989188175397325,-0.6575582921470261,8.244179193047473e-17,0.6575582921470261,0.6575582921470262,0.5989188175397325,1.0875582921470262,0.8725582921470261
13.5,98.07181000630752,87.71731250978009,-84.57181000630752,84.57181000630752,-74.21731250978009,74.21731250978009,-10.354497496527422,10.354497496527422,0.0,1,C,74.21731250978009,0.0,-5.536054497711564e-17,0.5973083339630041,-0.6510066589200361,4.0031746070322037e-16,0.6510066589200361,0.6510066589200365,0.5973083339630041,1.0810066589200364,0.866006658920036
14.0,98.07181000630752,87.63535590296122,-84.07181000630752,84.07181000630752,-73.63535590296124,73.63535590296124,-10.436454103346284,10.436454103346284,0.0,1,C,73.63535590296124,0.0,-9.823056546987926e-17,0.5956459923443844,-0.6444594396586576,9.803089029147968e-17,0.6444594396586576,0.6444594396586577,0.5956459923443845,1.0744594396586578,0.8594594396586576
14.5,98.07181000630752,87.55367757319132,-83.57181000630752,83.57181000630752,-73.05367757319132,73.05367757319132,-10.518132433116193,10.518132433116193,0.0,1,C,73.05367757319132,0.0,-3.897274590251238e-18,0.5939319572156101,-0.6379171551737705,-2.7480597310158243e-17,0.6379171551737705,0.6379171551737705,0.5939319572156101,1.0679171551737705,0.8529171551737704
15.0,98.07181000630752,87.47228675875581,-83.07181000630752,83.07181000630752,-72.47228675875583,72.47228675875583,-10.599523247551693,10.599523247551693,0.0,1,C,72.47228675875583,0.0,-7.484691792837183e-17,0.5921663963079887,-0.6313803262877149,2.6291447415242916e-16,0.6313803262877149,0.6313803262877151,0.5921663963079888,1.061380326287715,0.8463803262877149
15.5,98.07181000630752,87.39119262686494,-82.57181000630752,82.57181000630752,-71.89119262686494,71.89119262686494,-10.680617379442571,10.680617379442571,0.0,1,C,71.89119262686494,0.0,-9.823056546987926e-17,0.5903494805228758,-0.6248494737802052,9.803089029147968e-17,0.6248494737802052,0.6248494737802053,0.590349480522876,1.0548494737802052,0.8398494737802051
16.0,98.07181000630752,87.31040427164196,-82.07181000630752,82.07181000630752,-71.31040427164196,71.31040427164196,-10.761405734665551,10.761405734665551,0.0,1,C,71.31040427164196,0.0,-5.14632703868644e-17,0.5884813839024751,-0.6183251183340495,4.277980580133786e-16,0.6183251183340495,0.6183251183340499,0.5884813839024751,1.0483251183340498,0.8333251183340494
16.5,98.07181000630752,87.22993071215309,-81.5718100063075,81.5718100063075,-70.72993071215308,70.72993071215308,-10.841879294154426,10.841879294154426,0.0,1,C,70.72993071215308,0.0,-7.484691792837183e-17,0.5865622836009805,-0.6118077804806881,2.6291447415242916e-16,0.6118077804806881,0.6118077804806883,0.5865622836009806,1.0418077804806882,0.826807780480688
17.0,98.07181000630752,87.14978089047955,-81.07181000630752,81.07181000630752,-70.14978089047955,70.14978089047955,-10.922029115827968,10.922029115827968,0.0,1,C,70.14978089047955,0.0,-1.4189928667624117e-16,0.5845923598560652,-0.6052979805455755,5.807901429251748e-16,0.6052979805455755,0.605297980545576,0.5845923598560653,1.035297980545576,0.8202979805455755
17.5,98.07181000630752,87.06996366983304,-80.5718100063075,80.5718100063075,-69.56996366983304,69.56996366983304,-11.001846336474465,11.001846336474465,0.0,1,C,69.56996366983304,0.0,-5.925781956736687e-17,0.582571795960731,-0.5987962385934195,3.728368633930621e-16,0.5987962385934195,0.5987962385934198,0.5825717959607312,1.0287962385934197,0.8137962385934194
18.0,98.07181000630752,86.99048783271513,-80.07181000630752,80.07181000630752,-68.99048783271513,68.99048783271513,-11.081322173592381,11.081322173592381,0.0,1,C,68.99048783271513,0.0,1.1691823770753715e-17,0.5805007782355257,-0.5923030743732993,8.244179193047473e-17,0.5923030743732993,0.5923030743732994,0.5805007782355257,1.0223030743732995,0.8073030743732993
18.5,98.07181000630752,86.9113620791211,-79.57181000630752,79.57181000630752,-68.41136207912112,68.41136207912112,-11.1604479271864,11.1604479271864,0.0,1,C,68.41136207912112,0.0,-5.536054497711564e-17,0.578379496001134,-0.5858190072636801,4.0031746070322037e-16,0.5858190072636801,0.5858190072636805,0.578379496001134,1.0158190072636806,0.80081900726368
