theta0_degrees,theta_tangent_degrees,theta_error_degrees,theta_error_abs_degrees,tau0,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_min,s_max,q_min,q_max,q_abs_max,lateral_width_reference,longitudinal_width_reference,required_corridor_width,candidate_disk_distance_max,candidate_disk_residual_max
200.0,77.61683121319547,122.38316878680453,122.38316878680453,-1,CbC,90.00000000000001,32.38316878680449,1.1904278150569996e-17,0.846062192932845,-0.39214812450952724,0.3400469641754538,0.39214812450952724,0.7321950886849811,0.846062192932845,1.162195088684981,0.7321950886849808,0.0
200.5,77.67289395239573,122.82710604760425,122.82710604760425,-1,CbC,90.00000000000001,32.82710604760424,1.1851219599676422e-17,0.8491191519251567,-0.39692721391018937,0.33526787477479153,0.39692721391018937,0.7321950886849808,0.8491191519251567,1.1621950886849808,0.7321950886849808,0.0
201.0,77.72869771080468,123.27130228919535,123.27130228919535,-1,CbC,89.99999999999999,33.27130228919535,2.359678976717934e-17,0.8522148636068839,-0.40168524134387185,0.3305098473411089,0.40168524134387185,0.7321950886849807,0.8522148636068839,1.1621950886849808,0.7321950886849812,3.3306690738754696e-16
201.5,77.7842392631065,123.71576073689351,123.71576073689351,-1,CbC,90.00000000000001,33.715760736893465,1.1745807262692961e-17,0.8553492293107072,-0.4064219131413703,0.3257731755436108,0.4064219131413703,0.7321950886849811,0.8553492293107072,1.162195088684981,0.7321950886849808,0.0
202.0,77.83951538143373,124.16048461856627,124.16048461856627,-1,CbC,90.00000000000003,34.16048461856625,-2.3386920000461317e-17,0.8585221486176257,-0.41113693537575136,0.32105815330922977,0.41113693537575136,0.7321950886849811,0.8585221486176257,1.162195088684981,0.7321950886849808,0.0
202.5,77.89452283534835,124.60547716465166,124.60547716465166,-1,CbC,90.00000000000001,34.60547716465163,1.1641356362285651e-17,0.861733519343256,-0.41583001386442664,0.3163650748205544,0.41583001386442664,0.7321950886849811,0.861733519343256,1.162195088684981,0.7321950886849808,0.0
203.0,77.94925839182588,125.05074160817412,125.05074160817412,-1,CbC,90.00000000000001,35.0507416081741,2.3178999235508515e-17,0.8649832375239698,-0.4205008541713919,0.31169423451358913,0.4205008541713919,0.7321950886849811,0.8649832375239698,1.162195088684981,0.7321950886849808,0.0
203.5,78.00371881524129,125.49628118475873,125.49628118475873,-1,CbC,90.00000000000001,35.49628118475871,-1.1537893038319602e-17,0.8682711974028432,-0.4251491616096271,0.3070459270753539,0.4251491616096271,0.7321950886849811,0.8682711974028432,1.162195088684981,0.7321950886849808,0.0
204.0,78.05790086735732,125.9420991326427,125.9420991326427,-1,CbC,90.00000000000001,35.942099132642674,0.0,0.8715972914154431,-0.4297746412436638,0.3024204474413172,0.4297746412436638,0.7321950886849811,0.8715972914154431,1.162195088684981,0.7321950886849808,0.0
204.5,78.1118013073152,126.38819869268478,126.38819869268478,-1,CbC,90.00000000000001,36.38819869268478,-2.2870886950468813e-17,0.8749614101754336,-0.4343769978923211,0.2978180907926599,0.4343769978923211,0.7321950886849811,0.8749614101754336,1.162195088684981,0.7321950886849808,0.0
