theta0_degrees,theta_reference_degrees,theta_segment_degrees,delta_reference_degrees,delta_reference_abs_degrees,delta_segment_degrees,delta_segment_abs_degrees,segment_reference_error_degrees,segment_reference_error_abs_degrees,angle_decomposition_residual,tau0,tau1,family_plain,forward_arc_iota_degrees,backward_arc_iota_degrees,s_ref_min,s_ref_max,q_ref_min,q_ref_max,q_ref_abs_max,lateral_path_width,longitudinal_path_width,required_strip_width
31.5,81.5793815929504,85.00329226392977,-50.0793815929504,50.0793815929504,-53.503292263929765,53.503292263929765,3.4239106709793634,3.4239106709793634,0.0,1,1,C,53.503292263929765,0.0,-2.684248881411144e-16,0.6052743597654202,-0.26232304605258816,2.9696035223485343e-16,0.26232304605258816,0.26232304605258844,0.6052743597654204,0.6923230460525884
32.0,81.5793815929504,84.93656475051856,-49.5793815929504,49.5793815929504,-52.93656475051855,52.93656475051855,3.3571831575681528,3.3571831575681528,0.0,1,1,C,52.93656475051854,0.0,-1.2608344561080197e-16,0.6003014221714809,-0.25744178274935603,9.356745177178099e-17,0.25744178274935603,0.25744178274935614,0.600301422171481,0.6874417827493562
32.5,81.5793815929504,84.87039163895552,-49.0793815929504,49.0793815929504,-52.37039163895553,52.37039163895553,3.291010046005131,3.291010046005131,0.0,1,1,C,52.37039163895553,0.0,-1.1795444715104672e-16,0.5952930495792099,-0.2525964261406084,3.865472742613525e-17,0.2525964261406084,0.25259642614060845,0.59529304957921,0.6825964261406084
33.0,81.5793815929504,84.80477867250025,-48.579381592950405,48.579381592950405,-51.80477867250025,51.80477867250025,3.2253970795498534,3.2253970795498534,-1.1102230246251565e-16,1,1,C,51.80477867250024,0.0,-2.684248881411144e-16,0.5902496349327899,-0.24778735628987072,2.9696035223485343e-16,0.24778735628987072,0.24778735628987103,0.5902496349327901,0.6777873562898711
33.5,81.5793815929504,84.73973148069283,-48.0793815929504,48.0793815929504,-51.239731480692825,51.239731480692825,3.160349887742428,3.160349887742428,6.938893903907228e-18,1,1,C,51.23973148069283,0.0,-1.2608344561080197e-16,0.5851715728846463,-0.24301495044749835,9.356745177178099e-17,0.24301495044749835,0.24301495044749843,0.5851715728846464,0.6730149504474985
34.0,81.5793815929504,84.67525557907348,-47.5793815929504,47.5793815929504,-50.675255579073486,50.675255579073486,3.095873986123081,3.095873986123081,1.1102230246251565e-16,1,1,C,50.67525557907348,0.0,-2.684248881411144e-16,0.5800592597668579,-0.23827958301280394,2.9696035223485343e-16,0.23827958301280394,0.23827958301280425,0.5800592597668581,0.6682795830128042
34.5,81.5793815929504,84.61135636894737,-47.0793815929504,47.0793815929504,-50.11135636894737,50.11135636894737,3.031974775996969,3.031974775996969,0.0,1,1,C,50.11135636894737,0.0,-1.6257996919510486e-17,0.5749130935629899,-0.23358162549651598,1.0982544869129148e-16,0.23358162549651598,0.2335816254965161,0.5749130935629899,0.6635816254965161
35.0,81.5793815929504,84.54803913719503,-46.5793815929504,46.5793815929504,-49.54803913719503,49.54803913719503,2.9686575442446355,2.9686575442446355,0.0,1,1,C,49.54803913719503,0.0,-1.1795444715104672e-16,0.5697334738803207,-0.22892144648357945,3.865472742613525e-17,0.22892144648357945,0.22892144648357948,0.5697334738803208,0.6589214464835795
35.5,81.5793815929504,84.48530905612769,-46.0793815929504,46.0793815929504,-48.9853090561277,48.9853090561277,2.905927463177294,2.905927463177294,6.938893903907228e-18,1,1,C,48.9853090561277,0.0,-2.684248881411144e-16,0.5645208019224864,-0.22429941159630806,2.9696035223485343e-16,0.22429941159630806,0.22429941159630837,0.5645208019224867,0.6542994115963083
36.0,81.5793815929504,84.42317118338612,-45.5793815929504,45.5793815929504,-48.42317118338611,48.42317118338611,2.843789590435712,2.843789590435712,0.0,1,1,C,48.4231711833861,0.0,-1.1795444715104672e-16,0.559275480462514,-0.21971588345789447,3.865472742613525e-17,0.21971588345789447,0.2197158834578945,0.5592754804625141,0.6497158834578944
36.5,81.5793815929504,84.36163046188369,-45.0793815929504,45.0793815929504,-47.86163046188369,47.86163046188369,2.78224886893329,2.78224886893329,6.938893903907228e-18,1,1,C,47.86163046188369,0.0,-2.684248881411144e-16,0.5539979138162404,-0.21517122165628946,2.9696035223485343e-16,0.21517122165628946,0.21517122165628977,0.5539979138162406,0.6451712216562897
37.0,81.5793815929504,84.3006917197918,-44.5793815929504,44.5793815929504,-47.30069171979179,47.30069171979179,2.7213101268413964,2.7213101268413964,0.0,1,1,C,47.30069171979179,0.0,-8.128998459755243e-18,0.5486885078161157,-0.210665782708456,5.491272434564574e-17,0.210665782708456,0.21066578270845607,0.5486885078161157,0.6406657827084561
37.5,81.5793815929504,84.24035967056749,-44.0793815929504,44.0793815929504,-46.740359670567486,46.740359670567486,2.6609780776170853,2.6609780776170853,0.0,1,1,C,46.740359670567486,0.0,-8.128998459755243e-18,0.5433476697853713,-0.2061999200250059,5.491272434564574e-17,0.2061999200250059,0.20619992002500595,0.5433476697853713,0.6361999200250059
38.0,81.5793815929504,84.1806389130227,-43.5793815929504,43.5793815929504,-46.180638913022705,46.180638913022705,2.601257320072308,2.601257320072308,0.0,1,1,C,46.1806389130227,0.0,-2.6029588968135917e-16,0.5379758085125587,-0.2017739838752292,2.420476278892077e-16,0.2017739838752292,0.20177398387522946,0.5379758085125589,0.6317739838752294
